drug_1_generic,drug_1_class,drug_1_brands,drug_1_formula_class,drug_2_generic,drug_2_class,drug_2_brands,drug_2_formula_class,interaction_type,mechanism,resulting_harm,severity,notes
fluoxetine/sertraline/paroxetine/citalopram,SSRI (Selective Serotonin Reuptake Inhibitor),Prozac/Zoloft/Paxil/Celexa,Aralkylamine derivative,phenelzine/tranylcypromine/isocarboxazid,MAOI (Monoamine Oxidase Inhibitor),Nardil/Parnate/Marplan,Hydrazine/non-hydrazine,Pharmacodynamic,Both block serotonin reuptake/metabolism causing dangerous synaptic serotonin accumulation,Serotonin Syndrome: cognitive dysfunction + autonomic instability + somatic tremors/hyperthermia/seizures/multiorgan failure,CONTRAINDICATED,14-day washout required when switching; 5 weeks for fluoxetine
imipramine/clomipramine,TCA (Tricyclic Antidepressant),Tofranil/Anafranil,Dibenzazepine derivative,phenelzine/tranylcypromine,MAOI,Nardil/Parnate,Hydrazine derivative,Pharmacodynamic,Dual serotonin reuptake inhibition from TCA+MAOI,Serotonin Syndrome,CONTRAINDICATED,Only imipramine and clomipramine have serotonin potency; nortriptyline/desipramine are safer with MAOIs
tramadol,Analgesic (weak SNRI + mu-opioid agonist),Ultram,Cyclohexanol derivative,fluoxetine/sertraline,SSRI,Prozac/Zoloft,Aralkylamine,Pharmacodynamic,Combined serotonergic action via multiple pathways — risk increases significantly with third serotonergic agent,Serotonin Syndrome,MAJOR,Risk especially high when a triptan is added as third serotonergic agent
linezolid,Oxazolidinone Antibiotic (reversible MAO-A inhibitor),Zyvox,Oxazolidinone,fluoxetine/venlafaxine,SSRI/SNRI,Prozac/Effexor,Aralkylamine,Pharmacodynamic,Linezolid acts as weak MAO-A inhibitor (Ki=55µM) combined with serotonergic drug,Serotonin Syndrome (mild to severe),MAJOR,Rare but documented; linezolid's weak MAO inhibition is sufficient to trigger in combination
St. John's Wort (Hypericum perforatum),Herbal supplement (MAO inhibitor + serotonergic),Various OTC herbal products,Plant alkaloid extract,sertraline/paroxetine,SSRI,Zoloft/Paxil,Aralkylamine,Pharmacodynamic,Combined serotonergic activity from herbal MAO inhibition + SSRI,Serotonin Syndrome,MODERATE,OTC herbal with documented serious interaction — patients often unaware
morphine/codeine/hydrocodone/oxycodone/fentanyl/methadone,Opioid Analgesic (mu-receptor agonist),MS Contin/Vicodin/OxyContin/Duragesic/Dolophine,Various opioid alkaloids,diazepam/alprazolam/lorazepam/clonazepam,Benzodiazepine (GABAA agonist),Valium/Xanax/Ativan/Klonopin,Benzodiazepine,Pharmacodynamic,Synergistic CNS depression: opioids act on mu-receptors (respiratory control) + benzodiazepines potentiate GABAA (CNS depression),Respiratory depression / extreme sedation / coma / death,CONTRAINDICATED,FDA 2016 Black Box Warning; observational studies confirm increased mortality vs opioids alone
morphine/hydrocodone/fentanyl,Opioid Analgesic,Various formulations,Opioid alkaloid,ethanol,CNS Depressant / Alcohol,Beer/wine/spirits,Ethanol,Pharmacodynamic,Synergistic CNS and respiratory depression at multiple receptor sites,Respiratory depression / overdose death / impaired cognition,CONTRAINDICATED,Strong warning in all opioid labeling; major cause of opioid overdose deaths
amphetamine/dextroamphetamine/methamphetamine,CNS Stimulant,Adderall/Dexedrine,Phenethylamine derivative,phenelzine/tranylcypromine/isocarboxazid,MAOI,Nardil/Parnate/Marplan,Hydrazine derivative,Pharmacodynamic,MAOI inhibits MAO-A (blocks NE breakdown); amphetamine blocks reuptake AND releases NE — synergistic synaptic NE accumulation,Hypertensive crisis / stroke / myocardial infarction,CONTRAINDICATED,14-day washout required; therapeutic combination sometimes used under careful monitoring
methylphenidate,CNS Stimulant (ADHD medication),Ritalin/Concerta,Piperidine derivative,phenelzine/tranylcypromine,MAOI,Nardil/Parnate,Hydrazine derivative,Pharmacodynamic,NE reuptake blockade + MAOI NE preservation → alpha-1 receptor overstimulation,Hypertensive crisis / myocardial infarction,CONTRAINDICATED,Absolute contraindication; ADHD patients on stimulants must not take MAOIs
phenylephrine,Decongestant (alpha-1 adrenergic agonist),Sudafed PE/Neo-Synephrine,Phenethylamine,phenelzine/tranylcypromine,MAOI,Nardil/Parnate,Hydrazine,Pharmacodynamic,Direct alpha-1 agonist + MAOI-preserved NE → excessive arteriole resistance,Hypertensive crisis / acute coronary syndrome,MAJOR,OTC decongestant; FDA warns against concurrent use; patients on MAOIs should avoid ALL decongestants
pseudoephedrine,Decongestant (sympathomimetic),Sudafed/Actifed,Phenethylamine (ephedrine isomer),phenelzine/tranylcypromine,MAOI,Nardil/Parnate,Hydrazine,Pharmacodynamic,Sympathomimetic activity + MAOI effect,Hypertensive crisis,MAJOR,OTC cold medicine; patients on MAOIs must avoid
warfarin,Vitamin K Antagonist (Anticoagulant),Coumadin,Coumarin derivative,trimethoprim-sulfamethoxazole (TMP-SMX),Antibiotic (sulfonamide),Bactrim/Septra,Sulfonamide,Pharmacokinetic,TMP-SMX inhibits CYP2C9 → decreases clearance of S-warfarin (5x more potent isomer),Excessive anticoagulation / hemorrhage,MAJOR,INR prolonged by mean 12.6s; close INR monitoring required
warfarin,Vitamin K Antagonist,Coumadin,Coumarin,metronidazole,Antibiotic (Nitroimidazole),Flagyl,Nitroimidazole,Pharmacokinetic,CYP2C9 inhibition increases warfarin plasma levels,Increased bleeding risk / hemorrhage,MAJOR,Common antibiotic + common anticoagulant; dangerous combination
warfarin,Vitamin K Antagonist,Coumadin,Coumarin,aspirin (acetylsalicylic acid),NSAID / Antiplatelet,Bayer Aspirin,Salicylate,Pharmacodynamic,Combined antiplatelet (COX-1 inhibition) + anticoagulation → additive bleeding,Bleeding increased 2–4 fold / GI hemorrhage / intracranial hemorrhage,MAJOR,Even low-dose aspirin significantly increases risk with warfarin
warfarin,Vitamin K Antagonist,Coumadin,Coumarin,ibuprofen,NSAID,Advil/Motrin,Propionic acid NSAID,Pharmacodynamic + Pharmacokinetic,COX-1 inhibition + CYP2C9 inhibition increases warfarin levels,Major bleeding (GI / CNS / urinary) — 1.79x baseline risk,MAJOR,Higher risk with naproxen (4.1x) and diclofenac (3.3x)
warfarin,Vitamin K Antagonist,Coumadin,Coumarin,phenobarbital,Barbiturate (CYP450 Inducer),Luminal,Barbiturate,Pharmacokinetic,CYP450 induction increases warfarin clearance → subtherapeutic anticoagulation,Loss of anticoagulation / thrombosis / stroke / DVT,MAJOR,Anticonvulsant commonly used long-term; opposite direction of interaction (reduces warfarin effect)
citalopram,SSRI,Celexa,Aralkylamine,fluconazole/ketoconazole,Antifungal (CYP3A4 inhibitor),Diflucan/Nizoral,Triazole/Imidazole,Pharmacokinetic + Pharmacodynamic,CYP3A4 inhibition increases citalopram levels; both agents prolong QT via hERG channel blockade,QT prolongation / Torsades de Pointes (polymorphic ventricular tachycardia),MAJOR,Risk enhanced by hypokalemia/hypomagnesemia; female sex; age >65
azithromycin,Macrolide Antibiotic,Zithromax/Z-Pack,Macrolide,ciprofloxacin,Fluoroquinolone Antibiotic,Cipro,Fluoroquinolone,Pharmacodynamic,Dual QT-prolonging agents via hERG potassium channel blockade,QT prolongation / Torsades de Pointes,MAJOR,Both very commonly prescribed; dangerous combination; QTc baseline needed
sotalol,Antiarrhythmic Class II/III,Betapace,Methanesulfonamide,dofetilide,Antiarrhythmic Class III,Tikosyn,Methanesulfonamide,Pharmacodynamic,Both block hERG/IKr potassium channels; additive QT prolongation,Torsades de Pointes / sudden cardiac death,CONTRAINDICATED,Renal impairment and hypokalemia amplify risk significantly
haloperidol,Antipsychotic (typical),Haldol,Butyrophenone,ziprasidone,Antipsychotic (atypical),Geodon,Benzothiazolyl piperazine,Pharmacodynamic,Both block hERG potassium channels → additive QT prolongation,QT prolongation / Torsades de Pointes,MAJOR,Risk elevated in female sex / age >65 / polypharmacy
acetaminophen (paracetamol),Analgesic/Antipyretic,Tylenol/Panadol,Para-aminophenol derivative,ethanol (chronic use),CNS Depressant / Alcohol,Beer/wine/spirits,Ethanol,Pharmacokinetic,Chronic alcohol induces CYP2E1 → increased toxic NAPQI metabolite formation + depletes glutathione,Acute hepatotoxicity / cirrhosis / fulminant liver failure,MAJOR,Acute co-ingestion less dangerous than chronic drinkers + APAP; risk highest with regular alcohol + daily acetaminophen use
diazepam/alprazolam/lorazepam,Benzodiazepine,Valium/Xanax/Ativan,Benzodiazepine,ethanol,CNS Depressant,Beer/wine/spirits,Ethanol,Pharmacodynamic,Synergistic GABA potentiation → profound CNS depression,Severe sedation / respiratory depression / blackouts / overdose death,CONTRAINDICATED,Synergistic effect disproportionately dangerous; can be fatal at moderate doses of each alone
disulfiram,Alcohol Deterrent (ALDH inhibitor),Antabuse,Dithiocarbamate derivative,ethanol,Alcohol,Any alcoholic beverage,Ethanol,Pharmacodynamic,Blocks aldehyde dehydrogenase → acetaldehyde accumulation in blood,Flushing / nausea / vomiting / chest pain / hypotension / cardiovascular collapse,CONTRAINDICATED,Intentional deterrent for alcohol use disorder; reaction also triggered by alcohol in mouthwash/sauces/vinegar
cefotetan/cefoperazone,Cephalosporin Antibiotic (with N-MTT side chain),Cefotan/Cefobid,Cephalosporin beta-lactam,ethanol,Alcohol,Any alcoholic beverage,Ethanol,Pharmacodynamic,N-methyltetrazolethiol (N-MTT) side chain inhibits aldehyde dehydrogenase → acetaldehyde accumulation,Disulfiram-like reaction: flushing / nausea / vomiting / hypotension,MAJOR,Only cephalosporins with N-MTT side chain; not a class-wide effect
cocaine (hydrochloride),Stimulant (ester-type local anesthetic),N/A (illicit),Tropane alkaloid,ethanol,CNS Depressant / Alcohol,Any alcoholic beverage,Ethanol,Pharmacokinetic (transesterification in liver),Cocaine + ethanol undergo transesterification → cocaethylene + methanol (via esterases); cocaethylene has longer half-life (~2h vs 1h) and greater cardiotoxicity,Increased cardiac toxicity / myocardial infarction / cardiomyopathy / sudden cardiac death (18–25x increased mortality vs cocaine alone),CONTRAINDICATED,One of the most clinically significant illicit drug-alcohol interactions; produces distinct toxic metabolite
warfarin,Vitamin K Antagonist,Coumadin,Coumarin,cimetidine,H2-Blocker (CYP450 inhibitor),Tagamet,Imidazole derivative,Pharmacokinetic,Inhibits CYP2C9/CYP2D6/CYP3A4 → warfarin levels increase (0.96 → 1.76 mcg/mL),Bleeding risk / hemorrhage,MAJOR,OTC heartburn medicine with serious interaction; patients frequently unaware
digoxin,Cardiac Glycoside (inotrope),Lanoxin,Steroidal glycoside,amiodarone,Antiarrhythmic Class III,Cordarone,Iodinated benzofuran,Pharmacokinetic,Amiodarone inhibits P-glycoprotein + reduces renal tubular secretion of digoxin,Serum digoxin increases 68–800%; clearance reduced 10–44% → digoxin toxicity (arrhythmias / AV block / nausea / visual disturbances),MAJOR,Serum digoxin nearly doubles; check levels immediately after starting amiodarone
digoxin,Cardiac Glycoside,Lanoxin,Steroidal glycoside,quinidine,Antiarrhythmic Class IA,Cardioquin/Quinaglute,Quinoline alkaloid,Pharmacokinetic,Quinidine inhibits renal tubular P-glycoprotein secretion of digoxin,Digoxin toxicity / arrhythmias / AV block / nausea,MAJOR,Classic interaction; requires digoxin level monitoring when quinidine added
lithium carbonate/citrate,Mood Stabilizer (alkali metal ion),Lithobid/Eskalith,Lithium salt,hydrochlorothiazide/chlorothiazide,Thiazide Diuretic,HydroDIURIL/Diuril,Benzothiadiazine,Pharmacokinetic,Diuretic increases Na+ excretion → kidney compensates by reabsorbing lithium → serum lithium rises 25–40%,Lithium toxicity: tremor / confusion / seizures / renal damage / arrhythmias,MAJOR,Thiazides have greatest effect on lithium levels; loop diuretics less so
lithium,Mood Stabilizer,Lithobid,Lithium salt,ibuprofen/naproxen/indomethacin,NSAID,Advil/Aleve/Indocin,Propionic/acetic acid NSAID,Pharmacokinetic,NSAIDs decrease prostaglandin-mediated renal blood flow → reduced lithium clearance → accumulation,Lithium toxicity / renal damage,MAJOR,Patients on lithium should avoid NSAIDs; even OTC doses significant
methotrexate (low-dose),Antimetabolite / DMARD,Trexall/Rheumatrex,Folate analogue,ibuprofen/naproxen/indomethacin,NSAID,Advil/Aleve/Indocin,Propionic/acetic acid NSAID,Pharmacokinetic,NSAIDs reduce renal prostaglandin synthesis → reduced renal perfusion + compete for renal tubular secretion of MTX,Acute renal failure / MTX accumulation / hepatotoxicity / cytopenia (anemia / leukopenia / thrombocytopenia),MAJOR,Risk greatest at high MTX doses and pre-existing renal impairment; RA patients often use both
simvastatin,Statin (HMG-CoA reductase inhibitor),Zocor,Decalin ring polyketide,grapefruit juice (furanocoumarins),CYP3A4 inhibitor (dietary),Grapefruit / tangelo / pomelo / bitter orange,Furanocoumarin (bergamottin/DHB),Pharmacokinetic,CYP3A4 inhibition in small intestine prevents first-pass metabolism of simvastatin,Serum levels increase 3.6-fold (260%); myopathy / rhabdomyolysis / acute renal failure,MAJOR,Effect lasts 3–7 days after last grapefruit; applies to atorvastatin and lovastatin; rosuvastatin/pravastatin unaffected
felodipine/nifedipine/verapamil,Calcium Channel Blocker,Plendil/Procardia/Calan,Dihydropyridine/phenylalkylamine,grapefruit juice (furanocoumarins),CYP3A4 inhibitor (dietary),Grapefruit juice,Furanocoumarin,Pharmacokinetic,CYP3A4 inhibition → increased CCB bioavailability (felodipine ~5-fold increase),Excessive hypotension / reflex tachycardia / syncope / bradycardia (verapamil),MAJOR,Felodipine was first drug where grapefruit interaction was discovered; clinically relevant at any grapefruit amount
aspirin (low-dose),Antiplatelet,Bayer Aspirin (81mg),Salicylate,ibuprofen,NSAID,Advil/Motrin,Propionic acid NSAID,Pharmacodynamic,Ibuprofen reversibly occupies COX-1 active site and displaces aspirin's irreversible binding — blocks aspirin's antiplatelet mechanism,Reduced cardioprotective antiplatelet efficacy of aspirin → increased thrombotic event risk,MODERATE,Ibuprofen should be taken 8h after aspirin or 30min before aspirin if both needed; naproxen has less interference
