Product_Category,Specific_Product_Name,Active_Chemical_Compound,Chemical_Formula,NEVER_Mix_With,WARNING_LEVEL,Reason_For_Hazard,Alternative_Safe_Products,Storage_Location,First_Aid_Instructions
Bleach,Clorox Bleach,Sodium Hypochlorite,NaOCl,Ammonia; Acids; Vinegar; Rubbing Alcohol; Hydrogen Peroxide; Hand Sanitizers; Paint Thinners; ALL other products,EXTREME,Forms toxic gases or toxic compounds,Hydrogen peroxide disinfectant (alone); Use each chemical separately,Cool dry place away from children; separate from all other cleaners,Flush affected area with water for 15 minutes; call Poison Control if inhaled
Glass Cleaner,Windex Original,Ammonia solution,NH3 (in water),Bleach; Oven cleaners; Drain cleaners; All other cleaning products,HIGH,Chloramine gas formation with bleach,Vinegar and water solution; Hydrogen peroxide disinfectant,Cool place away from bleach; clearly labeled,Flush with water; ventilate area; seek fresh air
Drain Cleaner (Base),Liquid Plumr; Green Gobbler,Sodium Hydroxide,NaOH,Water (in large quantities - use proper dilution); Aluminum metals; All acids; All other drain cleaners,EXTREME,Violent heat release; hydrogen gas if aluminum present; violent reactions with acids,Baking soda and vinegar paste; mechanical plunger; snake,Separate storage; high shelf away from children,Flush immediately with water; do not neutralize; call 911 if ingested
Drain Cleaner (Acid),Liquid Lightning,Sulfuric Acid,H2SO4,Water (reverse order - add acid to water); Bases; All other drain cleaners,EXTREME,Extreme heat; violent reactions; toxic vapors,Baking soda and vinegar paste; mechanical methods,Separate storage; clearly labeled with hazard; high shelf,NEVER add water to concentrated acid; call 911 immediately; flush with water per instructions
Oven Cleaner,Easy-Off; commercial oven cleaner,Sodium Hydroxide; Potassium Hydroxide,NaOH; KOH,Water in large amounts; Aluminum; All acids; All other cleaners,HIGH,Caustic burns; heat; potential explosion with acids,Baking soda paste; vinegar and baking soda,Separate storage away from other cleaners,Flush eyes with water for at least 15 minutes; remove contaminated clothing; seek medical attention
Toilet Bowl Cleaner (Acid),Lysol Power Toilet Bowl Cleaner,Hydrochloric Acid,HCl,Bleach; Ammonia products; Bases,EXTREME,Chlorine gas formation; violent reactions,Vinegar and baking soda; mechanical methods; alternative products,Separate from all other cleaners; high shelf,Flush with water; ventilate area; call Poison Control if significant exposure
Bathroom Cleaner,Various commercial products,May contain multiple: ammonia; HCl; weak acids,Variable,Bleach; Other cleaners with different pH,HIGH,May contain ammonia or acids that react dangerously with bleach or other products,Single-ingredient products; vinegar and water; hydrogen peroxide,Store away from bleach and other cleaners,Flush with water if contacted; ventilate area
Hand Sanitizer,Purell; similar alcohol-based,Ethanol or Isopropanol,C2H6O or C3H8O,Bleach; Oxidizing agents,MODERATE,Chloroform and other toxic compounds with bleach,Wash hands with soap and water; use one hand sanitizer type consistently,Cool location; keep away from bleach,Wash hands; seek fresh air; call Poison Control if significant exposure
Rubbing Alcohol,Isopropyl Alcohol USP,Isopropanol,C3H8O,Bleach; Oxidizing agents,MODERATE,Forms chloroform and toxic compounds,Use for specific medical purposes; wash with soap and water,Separate from bleach; clearly labeled,Wash affected area; ventilate; seek fresh air
Vinegar,White Vinegar; Apple Cider Vinegar,Acetic Acid,CH3COOH,Bleach; Bases,HIGH,Chlorine gas formation with bleach,Safe to use alone; can be combined with baking soda (non-reactive),Pantry or storage away from bleach,Flush with water if needed; vinegar alone is relatively safe
Hydrogen Peroxide,Hydrogen Peroxide Disinfectant,Hydrogen Peroxide,H2O2,Acetone; Nail polish; Some organic solvents; Metals in some cases,MODERATE,Acetone peroxide explosive formation; reactive with organics,Can be used alone for disinfection; safe with water,Store in opaque container away from direct light and heat,Generally safe for skin exposure; rinse with water if irritation occurs
Pool Shock,Calcium Hypochlorite shock,Calcium Hypochlorite,Ca(ClO)2,OTHER POOL CHLORINE (trichlor; dichlor); Acids; ALL other chemicals; Organic materials,EXTREME,Fire; explosion; chlorine gas; violent reactions,Use single type of pool chemical; follow manufacturer instructions precisely,Dry storage away from moisture; separate from other pool chemicals,Seek fresh air immediately if exposed; flush with water; call Poison Control
Pool Chlorine Tablets,Various brands (trichlor tablet),Trichlor,C3Cl3N3O3,OTHER POOL CHLORINE (calcium hypochlorite); Acids; All other chemicals,EXTREME,Fire; explosion; violent reactions; chlorine gas,Use single chlorine type; follow manufacturer precisely,Dry storage; separate from calcium hypochlorite and acids,Seek fresh air; flush with water; call Poison Control
Paint Thinner,Mineral Spirits; Lacquer Thinner,Methyl Ethyl Ketone; Other solvents,C4H8O; Variable,Bleach; Oxidizing agents; Bases,MODERATE,Toxic compound formation; flammability,Use proper ventilation; use least toxic alternative available,Flammable cabinet away from ignition sources; away from bleach,Remove to fresh air; flush with water if contacted
Nail Polish Remover,Acetone-based remover,Acetone,C3H6O,Hydrogen Peroxide; Bleach; Oxidizing agents,HIGH,Acetone peroxide explosive formation with H2O2; toxic compounds with bleach,Non-acetone removers; professional removal,Sealed container away from heat and oxidizers,Remove to fresh air; wash hands thoroughly; use in ventilated area
Window Cleaner,Windex; glass cleaner with ammonia,Ammonia solution,NH3 (aq),Bleach; Acids; Drain cleaners,HIGH,Chloramine gas with bleach; other toxic reactions,Vinegar and water solution; hydrogen peroxide,Separate from bleach; cool location,Flush with water if contacted; use in ventilated area
All-Purpose Cleaner,General multipurpose cleaners,Variable - may contain ammonia; alcohol; weak acids,Variable,Bleach (unless product specifically states it),MODERATE to HIGH,Unknown interactions if product contains ammonia or alcohols,Single-chemical products; vinegar; baking soda; hydrogen peroxide alone,Store away from bleach,Consult product label; flush with water; ventilate
Disinfectant Spray,Lysol spray; general disinfectants,May contain multiple components,Variable,Other disinfectants; Bleach,MODERATE,Unknown interactions between components,Use single product type; use properly ventilated area,Away from other products,Follow product instructions; use in ventilated area
Baking Soda,Pure sodium bicarbonate,Sodium bicarbonate,NaHCO3,No dangerous interactions,SAFE,NOT HAZARDOUS,Use freely with water; can be combined with vinegar (safe reaction),Pantry; any location,Not hazardous; safe for skin contact
Vinegar + Baking Soda,Two-ingredient mixture,Acetic Acid + Sodium bicarbonate,CH3COOH + NaHCO3,Bleach; Any strong oxidizer,SAFE (as combination),Safe combination that reacts to produce safe byproducts,Excellent cleaning combination,Pantry; any location,Not hazardous; safe combination
Plain Water,Deionized water; distilled water,Water,H2O,ONLY safe with: vinegar; baking soda; plain soaps; hydrogen peroxide alone,SAFE,Not hazardous when used with appropriate cleaners,Universal solvent; use with other safe products,Any location,Not hazardous
